NSC#,SMILES,Activity
NSC97920,C1CC2(CCC13NC4=CC=CC5=C4C(=CC=C5)N3)NC6=CC=CC7=C6C(=CC=C7)N2,0
NSC13785,C1=CC2=C(C=CC=C2[As](=O)(O)O)C(=C1)N,0
NSC357683,C1=CC2(C3C1C(OC(=C3)C(=O)N)OC2=O)O,0
NSC95909,C1=CC=C2C=C(C=CC2=C1)C=C3C(=O)NC(=O)NC3=O,0
NSC67392,CC1C2CC2(CC1=O)C(C)C,0
NSC154127,C1CCC(CC1)NC2=NN=C(C(=C2Cl)Cl)Cl,0
NSC41376,C1=CC=C(C=C1)[As](=O)(C2=CC=C(C=C2)O)O,0
NSC173969,C1=CC2=C(NC=C2C=O)N=C1,0
NSC75527,COC1=C(C=C(C=C1)C=CC(=O)C2=C(C=C(C=C2OC)OC)OC)OC,0
NSC87008,CC(C)(CO)N1CCN(CC1)C(=S)NC2=CC=CC=C2,0
NSC23225,CC1CCCCN1CC2=CNC3=CC=CC=C32,0
NSC215275,C1C(=C(CS1)NC2=CC=CC=C2)C(=O)NC3=CC=CC=C3,0
NSC127445,CCC(C)(C1=CN=C(C(=O)N1O)CC(C)C)O,0
NSC135184,CC1=CC=C(C=C1)S(=O)(=O)NNC(=O)C23CCC(C2)CC3,0
NSC45641,CC(=NNC1=NC=NC2=C1NC=N2)C,0
NSC13176,CC(CC(C#N)(C1=CC=CC=C1)C2=CC=CC=C2)N3CCCCC3,1
NSC16736,COC1=CC(=CC(=C1O)OC)C(=O)C(=O)C2=CC(=C(C(=C2)OC)O)OC,0
NSC376248,COC1=C2CCC(OC2=C3C(=C1)OC4=CC(=O)C=C5C4=C3C=C(O5)C6=CC=CC=C6)C7=CC=CC=C7,0
NSC26326,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,0
NSC34552,C1CC[N+]2(C(C1)CCCC2CO)[O-],0
NSC49847,C1=CSC(=C1)[As](=O)(C2=CC=CS2)O,0
NSC220030,CC1=NC=C(C=C1)C#CC(C)(C(C)(C)C)O,0
NSC42774,C1=CN(C=C1)CCC2=CC=NC=C2,0
NSC25435,C1=CC=C(C=C1)OP(=O)(C2=CC=CC=C2)OC3=CC=CC=C3,0
