SMILES,NSC#,Activity
CCOC(=O)NC1=CC2=C(C=C1)N=C(N2)C3=CSC=N3,NSC299514,0
CSC1=NC(=C(S1)C(=O)NC2=CC=C(C=C2)[N+](=O)[O-])N,NSC294750,0
CCCC(=O)N(C)C1=NC2=C(C=C(C=C2)Cl)C(=[N+](C1)[O-])C3=CC=CC=C3,NSC46075,0
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O,NSC361792,0
CC1=NC2=C(C=CN2)C(=N1)NCC3=CC=CC=C3,NSC106570,0
C1=CC(=C(C=C1[As](=O)(O)O)[N+](=O)[O-])OCC(=O)O,NSC12628,0
CCOC(=O)C1=C(C=C(NC1=O)C)O,NSC109231,0
CN1CCC2=CC(=C(C3=C2C1CC34C=CC(=O)C=C4)O)OC,NSC785166,0
CN1C(=C(C(=O)NC1=O)C(=O)C=CC2=CC=CC=C2)N,NSC358311,0
CCC1CN(C2CC3=C(C(=O)CC1C2C(=O)OC)NC4=CC=CC=C34)C,NSC108088,0
CCC(=O)OC1=C(NC(=C1C)C(=O)OCC)C(=O)O,NSC13434,0
CCOC(=O)CSC1=NC2=C(N1)N=C(C(=N2)Cl)Cl,NSC217913,0
CC1(C2CCC3(C(C2C4=C(O1)C=C5C(=C4O3)C=CC(=O)O5)O)C)C,NSC83433,0
CC1CCC2C(C3(C1C=CC3=O)C)OC(=O)C2=C,NSC85235,0
CC1(CC(CC(N1)(C)C)NC2=CC=C(C=C2)NC3=CC=CC=C3)C,NSC632536,0
CCOC1=CC=C(C=C1)NC2=C3C=CC=CC3=NC4=CC=CC=C42,NSC30205,1
CCCCC1CCCCCCC2=C1C=C(C=C3C(OC)=CC(C4=CC=CN4)=N3)N2,NSC247562,1
CC(=O)NC1=CC(=C(C2=C1N=CC=C2)NC(=O)C)OC,NSC101679,0
CC1(CC(C2=C(C3=C(C=C2C1)C(=O)C4=C5C(=CC(=C4C3=O)O)C6(C(C(C(C(O5)O6)O)N(C)C)O)C)O)OC)O,NSC269148,0
CC1=C(C(=CC=C1)C)NC(=O)NC2=CC=C(C=C2)S(=O)(=O)N,NSC205842,0
CC(=O)NC1=C(C=CC(=C1)[As](=O)(O)O)O,NSC3247,0
C1=CC=C(C(=C1)C2=NC3=CC=CC=C3N2)Cl,NSC128751,0
C1=CC=NC(=C1)C2=NC(=NN2)C3=CC=CC=N3,NSC234945,0
C1=CC=C(C(=C1)NC(=O)NC2=CC=C(C=C2)OC3=CC=C(C=C3)NC(=O)NC4=CC=CC=C4Cl)Cl,NSC80731,0
COC1=C(C2=C(C=C1)C(=O)C=C(O2)C3=CN=CC=C3)OC,NSC54645,0
CC1=C(CC(C(=C(N1)C)C(=O)OC)N2C(=O)CCC2=O)C(=O)OC,NSC328010,0
CC1=CC(=N)N(C=C1)C,NSC149877,0
CC1=CC(=O)C(=C(C1=O)O)C(C)CCC=C(C)C,NSC365793,0
COC1=CC=C(C=C1)N=NC2=C(NN=C2N)N,NSC21678,0
CCC1(CC(C2=C(C1OC3CC(C(C(O3)C)O)N(C)C)C(=C4C(=C2O)C(=O)C5=C(C4=O)C=CC=C5O)O)OC6CC(C(C(O6)C)O)N(C)C)O,NSC136044,0
CC1=CC2=C(SC3=CC(C=CC3=N2)N(C)C)C=C1N,NSC36758,0
COC1=CC=C2C(C(N)CCC3=CC(OC)=C(OC)C(OC)=C32)=CC1=O,NSC36354,0
C1OC2=C(O1)C(=C3C(=C2)C4C(C(C(C(C4O)O)O)O)NC3=O)O,NSC349156,0
CC1=C2C(=CC=C1)SC(=N2)NC(=O)NC3=CC(=CC=C3)SC,NSC329255,0
CC(=O)NC1=CC=C(C=C1)OCCOC2=CC=C(C=C2)[N+](=O)[O-],NSC120622,0
CC1(C2CCC(C1C2)CN=C(CSS(=O)(=O)O)N)C,NSC194308,0
CN1C2=NC(=NC(=C2C=N1)NC3=CC=CC=C3Cl)Cl,NSC7867,0
CCCSC1=NC=NC2=C1C=NN2,NSC27626,0
CNC(=O)C1=NN(C(=O)NC1=O)C,NSC56914,0
CC1=CC2=C(N=N1)N3C(=C2)CCC(=N3)Cl,NSC193043,0
C1=CC=C2C(=C1)C=CC(=C2O)N=NC3=NNN=N3,NSC338106,0
C1CNP(=O)(OC1)N(CCCl)CCCl,NSC26271,0
CC1=CC(=C(C=C1O)C2=C(C=C(C(=C2)O)C)O)O,NSC2805,0
COC(=O)C1=CC=C(NC1=O)C(=O)OC,NSC157767,0
C1CCC(C1)N2C=NC3=C2NC(=NC3=S)N,NSC56455,0
C1(C(ON=C1Cl)C(C(=O)O)N)O,NSC176324,0
C1CC(OC(C1)N2C=NC3=C2NC=NC3=S)CO,NSC43409,0
CN(CC1=C(C(=O)C=C(O1)CO)O)CC(=O)O,NSC114831,0
C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,NSC63865,0
CC1=CC=C(C=C1)NC2=C(C=C(C=C2)N)S(=O)(=O)O,NSC7572,0
CCCCOC(=O)C1=CN=CC=C1,NSC53506,0
CC(C)C1=C(C=CC(=C1)N(C)C)OC(=O)NC,NSC128141,0
CCNC1=NC(=NC(=N1)C2=CC=NC=C2)NC(C)C,NSC348970,1
C1=CC=C(C(=C1)C(=O)NC2=C(C=C(C=C2)Cl)Cl)N,NSC343557,0
C1OC2=C(O1)C(=C3C(=C2)C4=CC(C(C(C4NC3=O)O)O)O)O,NSC266535,0
C1=CC(=O)NC2=C1C(=N)C=C(C2=O)N,NSC111041,0
C1=CC=C(C(=C1)C=C2C(=O)NC(=S)S2)C(=O)O,NSC403268,0
CCOC(=O)C1=C(OC(=C(C1=O)C(=O)OCC)C)C,NSC7745,0
C1CC(=O)NC(=O)C1NC(=O)C2=CC=CC=C2,NSC373535,0
C1CC2=C3C(=CC=C2)N=C(N3C1)CSC4=CC=C(C=C4)N,NSC165701,0
CC1=C2C(C(C3=C(C=CC(O)=C3)S2)=O)=C(NCCN(C)C)C=C1,NSC317003,1
C1=CC(=CC=C1NC2=CC=NC=C2)NC(=O)C3=C(C=C(C=C3)NC4=C5C=C(C=CC5=NC=C4)[N+](=O)[O-])[N+](=O)[O-],NSC202386,0
C1=CC(=CN=C1)C=CC(=O)C=CC2=CN=CC=C2,NSC149286,0
CCN1CCC2=CC=CC=C2C1,NSC28837,0
C1CN2C3C14C5=CC=CC=C5N6C4=C(C=CC6=O)C(C3)C2=O,NSC122253,0
C1=CC=C2C(=C1)N=C3C=CC=C(C3=N2)O,NSC88882,0
CC1=C(N([N+](=C1C2=CC=CC=C2)[O-])O)C3=CC=CC=C3,NSC236254,0
C1=CC(=CC(=C1)O)NC(=S)NC(=O)C2=CC=CO2,NSC205913,0
CC(=O)OCC1=CC(=NN1C2=CC=C(C=C2)Cl)C3=NC4=CC=CC=C4NC3=O,NSC339161,0
CCC(CC=C)C(=O)NC(=O)N1CCCC2=CC=CC=C21,NSC12028,0
CC(=CC1=CC=CC=C1)C=C2C(=O)NC(=S)N2,NSC659107,0
C1CN2CC3=CCOC(C4C3CC2C15C4NC6=CC=CC=C56)CC(=O)O,NSC121860,0
C1C2CC(C1C3C2CC4C3O4)OCCOC5CC6CC5C7C6CC8C7O8,NSC102314,0
CC(=NO)C1CCC2C1(CC(C3C2CCC4C3(CCC(=NO)C4)C)(C)O)C,NSC70799,0
C1=C(NNC1=O)CC(=O)NN,NSC281639,0
CSC1=NNC(=N1)C2=CC=CS2,NSC366808,0
CCCCCC1=CN=CC=C1,NSC42633,0
C1=CC=C(C=C1)N2C=NC3=C2NC(=O)NC3=S,NSC19108,0
C1=CC=C(C=C1)C2=NC3=NNC(=C3C(=O)N2)N,NSC120307,0
COC1=CC2=C(C=C1)N3C4C25CCN6C5CC7C4C(CC3=O)OCC=C7C6,NSC72862,0
C1=CC=C(C(=C1)NCSC2=CC=C(C=C2)Cl)Cl,NSC89349,0
CC12CC(=O)N(C1=CCC3=C2N=CS3)C,NSC382059,0
C1=CC=C(C(=C1)C(=O)N)NC(=O)COC2=CC=C(C=C2)Cl,NSC164459,0
CC1(C2CC(=O)C3(C(C24COC(=O)CC4O1)CCC5(C36C(O6)C(=O)OC5C7=COC=C7)C)C)C,NSC36508,0
CC1=CC2C(C(C=CC2(C)C(=O)O)C(=O)C)C(C1=O)(C)O,NSC49643,0
COC1=CC=CC=C1C=C(C#N)C(=O)O,NSC638134,0
CC(C)C1=NC2=C(N1)C(=O)N(C(=O)N2C)C,NSC14303,0
C1CCN(CC1)C(=O)C2=C(N=C(S2)SCC3=CC=CC=C3)N,NSC294756,0
C(C1=NC2=C(N1)N=C(C(=N2)Cl)Cl)O,NSC166583,0
CCC(CC)C1=NC=CN1,NSC48231,0
CCC(C)NC1=NC2=C(N1C)C(=O)N(C(=O)N2C)C,NSC23715,0
COC1=CC=CC=C1N2C(=O)CC(C2=O)SC3=CC=CC=C3N,NSC153391,0
COC1=CC2=C(C=C1)NC(=C2)C3=CC=CC=C3,NSC159031,0
CCOC1=NSC(=N1)OCC,NSC152632,0
CC1=CC2C(CC1)(C3(C(CC(C34CO4)O2)OC(=O)C)C)C,NSC267033,0
C1CS(=O)(=O)CCN1CC2=CC=CC=N2,NSC255025,0
C1CCC2(C1)NC(CO2)(CO)CO,NSC106045,0
COC1=CC(=CC=C1)OCC(CN2CCN(CC2)C3=CC=C(C=C3)Cl)O,NSC91368,0
C1CC2=C(C1)C=C(C=C2)C=NN3C=NN=C3,NSC125043,0
C(CCCC(C(CCCCCCO)O)O)CCCC(=O)O,NSC7668,0
CC1C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)N(C2C(C3=CC=C(C=C3)OC4=C(C=CC(=C4)CC(C(=O)N1)N(C2=O)C)O)O)C)C)CC5=CC=C(C=C5)OC)C)C,NSC259968,0
C1=CC=C(C=C1)[As](=O)(C2=CC=CC(=C2)N)O,NSC41378,0
C1NC(=O)NCN1CCO,NSC47881,0
CCCCN1C=NC2=C1NC(=NC2=S)N,NSC39336,0
CCC(C)(C(=O)OC1C2C(C(C3(C4C2(CO3)C(CC5C4(C(C(=O)C=C5C)O)C)OC1=O)O)O)C)O,NSC132791,0
CC1=CC=CC=C1NC(=S)NC2=CC=CC=N2,NSC143348,1
C1C(O1)CN2C(=O)N(C(=O)N(C2=O)CC3CO3)CC4CO4,NSC296934,0
CC(C)C(=O)OC1CC(=CCCC(=CC2C1C(=C)C(=O)O2)CO)CO,NSC295426,0
CC1=NC(=CN1C2=C(N3C=CC=CC3=N2)[N+](=O)[O-])[N+](=O)[O-],NSC294153,0
C(C1C(C(C(C(O1)OC2C(C(OC2(CO)OC3C(C(C(C(O3)CO)O)O)O)CO)O)O)O)O)O,NSC2080,0
CC1=C(SN=N1)C(=O)NCC2=C(C=CC=C2Cl)F,NSC332452,0
CC1=CC(=O)NC(=N1)N,NSC41833,0
CN(C1=CC=CC=C1)C(=O)C2=CC=NC=C2,NSC204976,0
